all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"Interestingly , the observed femur kinematics during walking in our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in only our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in just our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in even our control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our experimental control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our normal control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our human control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our healthy control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our own control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our upper control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our low control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our large control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our average control-weight group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight experimental group resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group also resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group somewhat resembles the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles closely the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles well the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles strongly the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles also the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles greatly the results reported in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported previously in the experimental subjects of Carrano and Biewener ."
mutation sentence,"Interestingly , the femur kinematics during walking in our control-weight group resembles the results reported recently in the experimental subjects of Carrano and Biewener ."

original sentence,"There , he started a project called FrameNet , an on-line structured description of the English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
wrong word,of 20
mutation sentence,"There , he started a project called FrameNet , an on-line structured description of the general English lexicon implementing much of what he had earlier proposed more theoretically in his theory of Frame semantics , while implementing the idea of emphasizing example sentences from corpora ."
